364,121.129,22.2,12.54,
462,124.231,23.2,19.249,
492,129.107,22.9,17.9,
548,133.931,23.3,21.092,
848,138.54,22.9,25.234,
0,143.149,0,0,
0,147.758,0,0,
425,152.367,21.6,7.987,
605,156.977,24.7,19.504,
604,164.843,25.6,18.104,
0,165.545,0,0,
603,166.248,25.5,16.859,
0,166.95,0,0,
0,167.653,0,0,
0,168.355,0,0,
0,169.057,0,0,
0,169.76,0,0,
0,170.462,0,0,
0,171.165,0,0,
604,171.867,25.5,14.791,
609,172.57,25.2,14.839,
636,173.272,26.3,17.103,
0,173.3,0,0,
0,173.328,0,0,
0,173.356,0,0,
0,173.384,0,0,
0,173.411,0,0,
0,173.439,0,0,
0,173.467,0,0,
0,173.495,0,0,
0,173.523,0,0,
0,173.551,0,0,
372,173.579,25.7,34.254,
0,173.607,0,0,
0,173.634,0,0,
0,173.662,0,0,
0,173.69,0,0,
0,173.718,0,0,
543,173.746,25.5,12.907,
663,173.774,25.5,15.914,
664,173.802,25.8,17.001,
0,173.829,0,0,
664,173.857,25.7,16.304,
0,173.885,0,0,
0,173.913,0,0,
0,173.941,0,0,
0,173.969,0,0,
0,173.997,0,0,
0,174.025,0,0,
0,174.052,0,0,
0,174.08,0,0,
0,174.108,0,0,
0,174.136,0,0,
0,174.164,0,0,
0,174.192,0,0,
0,174.22,0,0,
0,174.247,0,0,
0,174.275,0,0,
0,174.303,0,0,
0,174.331,0,0,
246,174.359,27,7.183,
249,174.387,27,7.308,
243,174.415,27,7.123,
311,174.442,26.3,8.591,
248,174.47,26.9,7.171,
0,174.498,0,0,
366,174.526,27,10.887,
429,174.554,25.8,11.204,
254,174.582,27,7.391,
251,174.61,26.9,7.253,
243,174.638,27,7.074,
251,174.665,27,7.302,
243,174.693,27.2,7.303,
304,179.586,27,8.525,
306,184.48,27.8,9.169,
303,184.48,26.9,7.793,
303,184.48,27,8.042,
305,184.48,27,7.953,
0,184.48,0,0,
0,184.48,0,0,
664,184.48,24.7,13.899,
375,187.927,27.3,13.621,
243,188.419,27,6.103,
0,188.912,0,0,
603,189.404,24.5,11.218,
244,189.897,27.3,6.393,
244,190.389,27,5.979,
424,190.882,27,10.457,
424,191.374,26.6,9.893,
363,191.866,27,8.829,
426,192.359,26.5,9.724,
366,192.851,27.2,9.128,
366,193.344,27,8.794,
424,193.836,27,10.467,
485,193.836,27.1,11.691,
